| Timestamp (ms) | Temperature (°C) | Humidity (%) | Soil Moisture | Light |
| -------------: | ---------------: | -----------: | ------------: | ----: |
|              4 |            35.00 |        73.20 |          1023 |   465 |
|          20009 |            35.00 |        73.20 |          1022 |   474 |
|          40013 |            35.00 |        73.20 |          1022 |   391 |
|          60018 |            35.00 |        73.30 |          1022 |   470 |
|          80024 |            35.00 |        73.30 |          1022 |   472 |
|         100030 |            35.00 |        73.30 |          1022 |   472 |
|         120034 |            35.00 |        73.30 |          1022 |   470 |
|         140039 |            35.00 |        73.40 |          1022 |   477 |
|         160044 |            35.00 |        73.30 |          1022 |   473 |
|         180049 |            35.00 |        73.20 |          1022 |   473 |
|         200055 |            35.00 |        73.30 |          1022 |   475 |
|         220059 |            35.00 |        73.50 |          1022 |   476 |
|         240064 |            35.00 |        73.50 |          1022 |   481 |
|         260070 |            35.00 |        73.50 |          1022 |   477 |
|         280075 |            35.00 |        73.40 |          1021 |   481 |
|         300079 |            35.00 |        73.30 |          1022 |   479 |
|         320083 |            35.00 |        73.30 |          1022 |   479 |
|         340089 |            35.10 |        73.20 |          1022 |   480 |
|         360095 |            35.10 |        73.00 |          1022 |   482 |
|         380099 |            35.10 |        72.80 |          1022 |   481 |
|         400104 |            35.10 |        72.80 |          1023 |   494 |
|         420110 |            35.10 |        72.80 |          1022 |   483 |
|         440116 |            35.20 |        72.80 |          1022 |   488 |
|         460120 |            35.20 |        72.70 |          1021 |   490 |
|         480125 |            35.20 |        72.70 |          1021 |   485 |
|         500130 |            35.20 |        72.70 |          1023 |   486 |
|         520135 |            35.20 |        72.60 |          1021 |   489 |
|         540141 |            35.20 |        72.70 |          1022 |   491 |
|         560145 |            35.20 |        72.70 |          1021 |   490 |
|         580150 |            35.20 |        72.70 |          1022 |   492 |
|         600156 |            35.20 |        72.70 |          1023 |   495 |
|         620160 |            35.20 |        72.80 |          1022 |   302 |
|         640165 |            35.20 |        72.80 |          1022 |   496 |
|         660171 |            35.20 |        72.70 |          1022 |   504 |
|         680175 |            35.30 |        72.70 |          1021 |   494 |
|         700180 |            35.30 |        72.70 |          1023 |   503 |
|         720186 |            35.20 |        72.70 |          1022 |   469 |
|         740190 |            35.20 |        72.70 |          1022 |   462 |
|         760196 |            35.20 |        72.80 |          1021 |   474 |
|         800204 |            35.10 |        73.00 |          1022 |   512 |
|         820209 |            35.20 |        73.60 |          1022 |   473 |
|         840215 |            35.20 |        73.40 |          1023 |   351 |
|         860219 |            35.20 |        73.40 |          1022 |   440 |
|         920235 |            35.20 |        73.50 |          1022 |   513 |
|         940239 |            35.30 |        73.70 |          1022 |   514 |
|         960244 |            35.30 |        73.80 |          1022 |   511 |
|         980249 |            35.30 |        73.60 |          1021 |   382 |
|        1000254 |            35.30 |        73.40 |          1022 |   315 |
|        1020260 |            35.30 |        73.40 |          1022 |   396 |
|        1040265 |            35.30 |        73.40 |          1022 |   416 |
|        1060270 |            35.30 |        73.40 |          1020 |   518 |
|        1080275 |            35.30 |        73.50 |          1021 |   522 |
